Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
1,40.7893_-73.9739,40.7893,-73.9739,0.9791575160310363,12.0,0.0,11.666666666666666,0.0
2,40.8317_-73.9288,40.8317,-73.9288,0.9770709849264532,12.0,0.0,10.666666666666666,0.0
3,40.8315_-73.9289,40.8315,-73.9289,0.9755719881778322,22.0,0.0,17.0,0.0
4,40.6209_-74.0238,40.6209,-74.0238,0.9693762057613539,11.0,0.0,5.0,0.0
5,40.6684_-73.9606,40.6684,-73.9606,0.954432042884451,7.0,0.0,3.0,0.0
6,40.6689_-73.9493,40.6689,-73.9493,0.9426207287741337,5.0,0.0,2.333333333333333,0.0
7,40.7194_-73.9955,40.7194,-73.9955,0.9382867652449133,2.0,0.0,6.0,0.0
8,40.6833_-73.9302,40.6833,-73.9302,0.931827638164091,2.0,0.0,1.6666666666666667,0.0
9,40.5768_-73.9623,40.5768,-73.9623,0.9304526049321272,2.0,0.0,1.3333333333333333,0.0
10,40.6322_-73.9556,40.6322,-73.9556,0.928720624330358,1.0,0.0,2.333333333333333,0.0
11,40.662_-73.9823,40.662,-73.9823,0.9281026090810865,3.0,0.0,2.0,0.0
12,40.6554_-73.9511,40.6554,-73.9511,0.9266872335914393,2.0,0.0,2.6666666666666665,0.0
13,40.8585_-73.8993,40.8585,-73.8993,0.9257441627892292,12.0,0.0,7.333333333333333,0.0
14,40.6813_-73.928,40.6813,-73.928,0.9253092012695373,2.0,0.0,1.3333333333333333,0.0
15,40.9034_-73.8964,40.9034,-73.8964,0.9245618411409451,1.0,0.0,2.0,0.0
16,40.8306_-73.9033,40.8306,-73.9033,0.9243139643757482,4.0,0.0,2.333333333333333,0.0
17,40.6421_-73.9607,40.6421,-73.9607,0.9237146044575593,1.0,0.0,1.6666666666666667,0.0
18,40.7602_-73.9968,40.7602,-73.9968,0.9215124389618822,1.0,0.0,1.6666666666666667,0.0
19,40.7274_-73.9904,40.7274,-73.9904,0.9206727486574657,1.0,0.0,2.333333333333333,0.0
20,40.8583_-73.8904,40.8583,-73.8904,0.9202789614008365,1.0,0.0,1.6666666666666667,0.0
21,40.8218_-73.9512,40.8218,-73.9512,0.9192257517707813,2.0,0.0,2.333333333333333,0.0
22,40.6742_-73.966,40.6742,-73.966,0.9191165330060765,1.0,0.0,2.0,0.0
23,40.7095_-73.9151,40.7095,-73.9151,0.9189695852253743,8.0,0.0,3.333333333333333,0.0
24,40.8364_-73.9408,40.8364,-73.9408,0.9183604602374591,1.0,0.0,1.3333333333333333,0.0
25,40.8005_-73.9659,40.8005,-73.9659,0.9169828172197991,1.0,0.0,1.3333333333333333,0.0
26,40.7051_-73.9205,40.7051,-73.9205,0.9169375520253391,1.0,0.0,1.3333333333333333,0.0
27,40.8054_-73.9537,40.8054,-73.9537,0.9154488881430045,1.0,0.0,1.3333333333333333,0.0
28,40.7273_-73.9903,40.7273,-73.9903,0.9139911911226438,2.0,0.0,1.6666666666666667,0.0
29,40.7609_-73.963,40.7609,-73.963,0.9139431549499081,2.0,0.0,1.3333333333333333,0.0
30,40.804_-73.9542,40.804,-73.9542,0.9132787989281965,2.0,0.0,2.0,0.0
31,40.66_-73.961,40.66,-73.961,0.9126270925044822,1.0,0.0,1.0,0.0
32,40.8199_-73.9458,40.8199,-73.9458,0.9105747150966939,1.0,0.0,1.3333333333333333,0.0
33,40.8195_-73.8868,40.8195,-73.8868,0.9091590991061013,2.0,0.0,1.3333333333333333,0.0
34,40.8233_-73.939,40.8233,-73.939,0.9089980474056962,1.0,0.0,1.3333333333333333,0.0
35,40.6768_-73.9915,40.6768,-73.9915,0.9050627061168306,2.0,0.0,1.6666666666666667,0.0
36,40.8062_-73.9517,40.8062,-73.9517,0.9050037184511016,1.0,0.0,1.0,0.0
37,40.8153_-73.9415,40.8153,-73.9415,0.9048143712564836,1.0,0.0,1.0,0.0
38,40.7638_-73.9877,40.7638,-73.9877,0.9039335296404825,1.0,0.0,1.3333333333333333,0.0
39,40.8607_-73.8951,40.8607,-73.8951,0.9037055685818203,1.0,0.0,1.0,0.0
40,40.8299_-73.9498,40.8299,-73.9498,0.9027613089929228,1.0,0.0,1.3333333333333333,0.0
41,40.6847_-73.9249,40.6847,-73.9249,0.8994503632569889,2.0,0.0,1.5,0.0
42,40.6814_-73.9469,40.6814,-73.9469,0.8980830781916553,2.0,0.0,1.6666666666666667,0.0
43,40.8212_-73.9357,40.8212,-73.9357,0.8974333858665627,3.0,0.0,2.0,0.0
44,40.7318_-73.858,40.7318,-73.858,0.8946471767601277,2.0,0.0,2.0,0.0
45,40.815_-73.9601,40.815,-73.9601,0.8927272734612245,2.0,0.0,1.6666666666666667,0.0
46,40.7443_-73.9166,40.7443,-73.9166,0.8914618243879633,1.0,0.0,1.3333333333333333,0.0
47,40.8205_-73.9361,40.8205,-73.9361,0.8914224499745699,2.0,0.0,1.6666666666666667,0.0
48,40.6752_-73.9508,40.6752,-73.9508,0.8901667252811429,1.0,0.0,1.0,0.0
49,40.6685_-73.9612,40.6685,-73.9612,0.8901667252811429,1.0,0.0,1.0,0.0
50,40.6524_-73.9733,40.6524,-73.9733,0.8899577457090411,2.0,0.0,2.0,0.0
51,40.8247_-73.8609,40.8247,-73.8609,0.8892671213400505,2.0,0.0,1.6666666666666667,0.0
52,40.601_-73.9948,40.601,-73.9948,0.8883020601865645,4.0,0.0,2.0,0.0
53,40.733_-73.9906,40.733,-73.9906,0.8869036488836923,2.0,0.0,1.5,0.0
54,40.695_-73.9692,40.695,-73.9692,0.8788608691702757,3.0,0.0,1.6666666666666667,0.0
55,40.7676_-73.912,40.7676,-73.912,0.8760496502628535,5.0,0.0,2.333333333333333,0.0
56,40.6824_-73.9254,40.6824,-73.9254,0.8720389656719102,1.0,0.0,1.0,0.0
57,40.8234_-73.953,40.8234,-73.953,0.8661929964695028,1.0,0.0,1.3333333333333333,0.0
58,40.7224_-73.8079,40.7224,-73.8079,0.8639474347252635,7.0,0.0,7.0,0.0
59,40.8087_-73.9128,40.8087,-73.9128,0.8581756935773774,2.0,0.0,1.3333333333333333,0.0
60,40.8204_-73.9381,40.8204,-73.9381,0.8554469784394549,1.0,0.0,1.0,0.0
61,40.7904_-73.9717,40.7904,-73.9717,0.8543916554571623,1.0,0.0,1.0,0.0
62,40.8135_-73.945,40.8135,-73.945,0.8543916554571623,1.0,0.0,1.0,0.0
63,40.7444_-73.9165,40.7444,-73.9165,0.8502013318527654,1.0,0.0,1.0,0.0
64,40.7408_-73.8143,40.7408,-73.8143,0.8464180006871028,3.0,0.0,2.0,0.0
65,40.8074_-73.9569,40.8074,-73.9569,0.8460625333737823,1.0,0.0,1.0,0.0
66,40.8887_-73.839,40.8887,-73.839,0.842334837706654,12.0,0.0,6.0,0.0
67,40.6735_-73.9334,40.6735,-73.9334,0.8417466465263205,1.0,0.0,1.0,0.0
68,40.5926_-73.9591,40.5926,-73.9591,0.8395073418065447,1.0,0.0,1.3333333333333333,0.0
69,40.6635_-73.9427,40.6635,-73.9427,0.8395073418065447,1.0,0.0,1.3333333333333333,0.0
70,40.8542_-73.9,40.8542,-73.9,0.8394739772956218,1.0,0.0,1.0,0.0
71,40.6257_-74.0923,40.6257,-74.0923,0.8389974764132765,1.0,0.0,1.0,0.0
72,40.7646_-73.9165,40.7646,-73.9165,0.8356217402723124,1.0,0.0,1.3333333333333333,0.0
73,40.7036_-73.8777,40.7036,-73.8777,0.8338381529523724,1.0,0.0,1.3333333333333333,0.0
74,40.839_-73.9376,40.839,-73.9376,0.832971804402487,1.0,0.0,1.0,0.0
75,40.7944_-73.9414,40.7944,-73.9414,0.8292955282181553,1.0,0.0,1.0,0.0
76,40.6657_-73.9509,40.6657,-73.9509,0.8286763531109618,1.0,0.0,1.0,0.0
77,40.7253_-73.9891,40.7253,-73.9891,0.8284620944930853,1.0,0.0,1.0,0.0
78,40.7786_-73.9625,40.7786,-73.9625,0.8205569121597938,1.0,0.0,1.0,0.0
79,40.7075_-73.8016,40.7075,-73.8016,0.8172072214313557,1.0,0.0,1.3333333333333333,0.0
80,40.7271_-73.8612,40.7271,-73.8612,0.8133959055822167,1.0,0.0,1.0,0.0
81,40.7062_-73.8982,40.7062,-73.8982,0.7932468303200728,1.0,0.0,1.0,0.0
