Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
1,40.6559_-73.9551,40.6559,-73.9551,0.98217493,7.0,0.0,5.0,0.0
2,40.8317_-73.9288,40.8317,-73.9288,0.9805039,7.0,0.0,21.666666666666668,0.0
3,40.8315_-73.9289,40.8315,-73.9289,0.97830313,11.0,0.0,25.666666666666668,0.0
4,40.7893_-73.9739,40.7893,-73.9739,0.9763797,18.0,2.0,21.666666666666668,36.0
5,40.8233_-73.939,40.8233,-73.939,0.9730546,3.0,0.0,3.333333333333333,0.0
6,40.633_-73.9705,40.633,-73.9705,0.9688649,2.0,0.0,2.333333333333333,0.0
7,40.8749_-73.8769,40.8749,-73.8769,0.9641032,1.0,0.0,1.6666666666666667,0.0
8,40.702_-73.9226,40.702,-73.9226,0.96374756,2.0,0.0,1.6666666666666667,0.0
9,40.6455_-73.9633,40.6455,-73.9633,0.96362865,1.0,0.0,1.6666666666666667,0.0
10,40.7919_-73.9694,40.7919,-73.9694,0.96358514,3.0,0.0,2.6666666666666665,0.0
11,40.8281_-73.9381,40.8281,-73.9381,0.96264637,1.0,0.0,2.0,0.0
12,40.6684_-73.9606,40.6684,-73.9606,0.96194184,3.0,0.0,1.6666666666666667,0.0
13,40.7814_-73.9482,40.7814,-73.9482,0.96183276,3.0,0.0,1.6666666666666667,0.0
14,40.8242_-73.9412,40.8242,-73.9412,0.96183276,2.0,0.0,1.6666666666666667,0.0
15,40.7989_-73.9621,40.7989,-73.9621,0.9616949,1.0,0.0,1.3333333333333333,0.0
16,40.6883_-73.9583,40.6883,-73.9583,0.9616828,4.0,0.0,2.0,0.0
17,40.6732_-73.9298,40.6732,-73.9298,0.9613936,2.0,0.0,1.6666666666666667,0.0
18,40.8539_-73.8648,40.8539,-73.8648,0.9613549,1.0,0.0,1.3333333333333333,0.0
19,40.8218_-73.9447,40.8218,-73.9447,0.9596965,1.0,0.0,1.6666666666666667,0.0
20,40.8033_-73.9567,40.8033,-73.9567,0.9596965,1.0,0.0,2.0,0.0
21,40.7602_-73.9968,40.7602,-73.9968,0.9596965,1.0,0.0,2.0,0.0
22,40.6764_-73.9414,40.6764,-73.9414,0.9589408,1.0,0.0,1.3333333333333333,0.0
23,40.5768_-73.9623,40.5768,-73.9623,0.95844305,1.0,0.0,1.0,0.0
24,40.8328_-73.9279,40.8328,-73.9279,0.95841044,1.0,0.0,1.3333333333333333,0.0
25,40.681_-73.9595,40.681,-73.9595,0.95529157,2.0,0.0,1.3333333333333333,0.0
26,40.8218_-73.9512,40.8218,-73.9512,0.9536268,1.0,0.0,1.0,0.0
27,40.6434_-73.9924,40.6434,-73.9924,0.95346653,1.0,0.0,1.0,0.0
28,40.606_-74.0865,40.606,-74.0865,0.9519152,2.0,0.0,1.3333333333333333,0.0
29,40.8557_-73.9294,40.8557,-73.9294,0.9518733,1.0,0.0,1.3333333333333333,0.0
30,40.7684_-73.9533,40.7684,-73.9533,0.9514572,3.0,0.0,1.6666666666666667,0.0
31,40.7313_-73.9845,40.7313,-73.9845,0.9503688,1.0,0.0,1.0,0.0
32,40.8201_-73.9374,40.8201,-73.9374,0.9503688,1.0,0.0,1.0,0.0
33,40.806_-73.9453,40.806,-73.9453,0.94369066,2.0,0.0,2.0,0.0
34,40.6515_-73.954,40.6515,-73.954,0.943504,2.0,0.0,2.333333333333333,0.0
35,40.8658_-73.8704,40.8658,-73.8704,0.94242775,1.0,0.0,1.0,0.0
36,40.6813_-73.9606,40.6813,-73.9606,0.9414769,1.0,0.0,1.0,0.0
37,40.6457_-73.9749,40.6457,-73.9749,0.93858784,1.0,0.0,1.3333333333333333,0.0
38,40.6518_-73.9603,40.6518,-73.9603,0.9350381,2.0,0.0,1.3333333333333333,0.0
39,40.7766_-73.9821,40.7766,-73.9821,0.9348133,1.0,0.0,1.3333333333333333,0.0
40,40.6804_-73.9428,40.6804,-73.9428,0.9345692,2.0,0.0,1.3333333333333333,0.0
41,40.7488_-73.9127,40.7488,-73.9127,0.9331526,2.0,0.0,1.6666666666666667,0.0
42,40.7231_-73.8687,40.7231,-73.8687,0.93201256,2.0,0.0,1.6666666666666667,0.0
43,40.8329_-73.9304,40.8329,-73.9304,0.93162304,2.0,0.0,1.3333333333333333,0.0
44,40.8528_-73.9201,40.8528,-73.9201,0.9302359,1.0,0.0,1.3333333333333333,0.0
45,40.7285_-73.9838,40.7285,-73.9838,0.92987585,3.0,0.0,2.0,0.0
46,40.8086_-73.9598,40.8086,-73.9598,0.9291141,1.0,0.0,1.3333333333333333,0.0
