Block_ID,Borough,Month_Year,count_illegal_dumping,count_rat_sighting,Month_Start,lag_1_rat,lag_1_dumping,lag_2_rat,lag_6_rat,lag_3_avg_rat,lag_12_avg_rat,dumping_rat_interaction,month,year,next_month_rat_count
40.5013_-74.2368,STATEN ISLAND,2024-04,1,0,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2024,0.0
40.5019_-74.237,STATEN ISLAND,2024-10,1,0,2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024,0.0
40.5019_-74.2483,STATEN ISLAND,2022-08,0,1,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2022,1.0
40.502_-74.2397,STATEN ISLAND,2024-10,0,2,2024-10-01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10,2024,1.0
40.502_-74.2397,STATEN ISLAND,2024-11,0,1,2024-11-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,11,2024,1.0
40.5031_-74.2391,STATEN ISLAND,2023-07,2,0,2023-07-01,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.0,7,2023,0.0
40.5032_-74.2319,STATEN ISLAND,2022-01,1,0,2022-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2022,0.0
40.5034_-74.2392,STATEN ISLAND,2022-05,1,0,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.75,0.0,5,2022,0.0
40.5036_-74.232,STATEN ISLAND,2022-04,1,0,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,0.0
40.503_-74.242,STATEN ISLAND,2026-01,0,1,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2026,1.0
40.5041_-74.2452,STATEN ISLAND,2024-02,1,0,2024-02-01,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2,2024,0.0
40.5044_-74.2482,STATEN ISLAND,2024-08,2,0,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8,2024,0.0
40.5061_-74.244,STATEN ISLAND,2022-05,0,1,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2022,1.0
40.5062_-74.2349,STATEN ISLAND,2022-03,1,0,2022-03-01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,2022,0.0
40.5062_-74.2349,STATEN ISLAND,2022-04,1,0,2022-04-01,0.0,1.0,0.0,0.0,0.0,0.5,0.0,4,2022,0.0
40.5062_-74.2349,STATEN ISLAND,2022-05,2,0,2022-05-01,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,5,2022,0.0
40.5062_-74.2349,STATEN ISLAND,2023-02,1,0,2023-02-01,0.0,2.0,0.0,0.0,0.0,0.25,0.0,2,2023,1.0
40.506_-74.2327,STATEN ISLAND,2022-03,1,0,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,0.0
40.506_-74.2327,STATEN ISLAND,2022-04,1,0,2022-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2022,0.0
40.506_-74.2327,STATEN ISLAND,2023-03,2,0,2023-03-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2023,0.0
40.5072_-74.2454,STATEN ISLAND,2024-06,0,1,2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,1.0
40.5076_-74.2455,STATEN ISLAND,2025-05,0,1,2025-05-01,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,5,2025,1.0
40.5091_-74.2209,STATEN ISLAND,2022-02,1,0,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,0.0
40.5095_-74.2473,STATEN ISLAND,2023-06,1,0,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2023,0.0
40.509_-74.2469,STATEN ISLAND,2022-02,1,0,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022,0.0
40.5108_-74.2464,STATEN ISLAND,2022-11,0,1,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2022,1.0
40.5111_-74.2401,STATEN ISLAND,2023-10,1,0,2023-10-01,0.0,0.0,0.0,0.0,1.0,0.5,0.0,10,2023,0.0
40.5112_-74.2401,STATEN ISLAND,2022-06,0,1,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,2022,0.0
40.5112_-74.2401,STATEN ISLAND,2022-11,1,0,2022-11-01,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,11,2022,1.0
40.5112_-74.2401,STATEN ISLAND,2025-07,0,1,2025-07-01,0.0,1.0,1.0,0.0,0.5,0.5,0.0,7,2025,0.0
40.5117_-74.2104,STATEN ISLAND,2022-03,1,0,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3,2022,0.0
40.5117_-74.2104,STATEN ISLAND,2024-12,1,0,2024-12-01,0.0,1.0,0.0,0.0,0.0,0.5,0.0,12,2024,0.0
40.5117_-74.2524,STATEN ISLAND,2024-11,1,0,2024-11-01,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,11,2024,0.0
40.5117_-74.2524,STATEN ISLAND,2025-04,1,0,2025-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2025,0.0
40.5133_-74.2003,STATEN ISLAND,2022-08,1,0,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2022,0.0
40.5133_-74.2003,STATEN ISLAND,2023-04,1,0,2023-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2023,0.0
40.5133_-74.2003,STATEN ISLAND,2024-02,2,0,2024-02-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2024,0.0
40.5133_-74.2003,STATEN ISLAND,2024-07,1,0,2024-07-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7,2024,0.0
40.5133_-74.2506,STATEN ISLAND,2022-06,0,1,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2022,0.0
40.5141_-74.2355,STATEN ISLAND,2023-11,1,0,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2023,0.0
40.5141_-74.2502,STATEN ISLAND,2022-07,1,0,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022,0.0
40.5142_-74.2452,STATEN ISLAND,2024-01,0,1,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,1.0
40.5142_-74.2452,STATEN ISLAND,2024-05,0,1,2024-05-01,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,5,2024,1.0
40.5142_-74.2499,STATEN ISLAND,2022-11,1,0,2022-11-01,0.0,0.0,0.0,0.0,1.0,0.5,0.0,11,2022,0.0
40.5142_-74.2499,STATEN ISLAND,2022-12,1,0,2022-12-01,0.0,1.0,0.0,0.0,0.5,0.4,0.0,12,2022,0.0
40.5142_-74.2499,STATEN ISLAND,2023-01,1,0,2023-01-01,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,2023,0.0
40.5142_-74.2499,STATEN ISLAND,2023-04,1,0,2023-04-01,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,4,2023,0.0
40.5143_-74.2482,STATEN ISLAND,2024-07,0,1,2024-07-01,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,7,2024,2.0
40.5143_-74.2482,STATEN ISLAND,2024-08,0,2,2024-08-01,1.0,0.0,0.0,0.0,0.5,0.375,0.0,8,2024,0.0
40.5143_-74.2482,STATEN ISLAND,2025-09,1,0,2025-09-01,2.0,0.0,1.0,0.0,1.5,0.625,0.0,9,2025,0.0
40.5143_-74.2482,STATEN ISLAND,2025-10,1,0,2025-10-01,0.0,1.0,2.0,0.0,1.0,0.5555555555555556,0.0,10,2025,0.0
40.5144_-74.2485,STATEN ISLAND,2022-04,1,0,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,4,2022,0.0
